fecha,dia,enviados_totales,cobrados_totales,vendidos_totales,devueltos_totales,suscripciones_totales,tiendas_conveniencia,tiendas_barrio,sectoristas,titulo,,,,,,,,,,,,
4/28/22,Thursday,97598,95148,83912,10610,859,735,1583,94421,"CAMINO A LA NUEVA NORMALIDAD. Permiten regreso a clases, fortalecer reactivaciÃ³n econÃ³ica, actividades sociales y uso estricto d",,,,,,,,,,,,
4/29/22,Friday,97187,92916,88055,4836,859,694,1583,94051,"EXTORSIONABA Y HACÃA BRUJERÃA. Detienen a banda encabezada por exintegrante de ""Barrio 18"" que amenazaba a comerciantes y transp",,,,,,,,,,,,
4/30/22,Saturday,96966,95015,91811,3204,859,696,1462,93949,RESCATADA DESPUÃ‰S DE UN MES. BebÃ© fue robada en Mixco y ubicada en MÃ©xico.,,,,,,,,,,,,
5/1/22,Sunday,98364,96476,81067,14377,860,697,1307,95500,TURBA EVITA VIOLACIÃ“N DE NIÃ‘A. La amenaza con un desarmador para llevÃ¡rsela.,,,,,,,,,,,,
5/2/22,Monday,102468,100015,92194,7706,860,738,1583,99287,CASA DEL TERROR. Hombre toca a la puerta y dispara contra familiar,,,,,,,,,,,,
5/3/22,Tuesday,96091,93379,85629,7478,860,691,1579,92961,FELIZ DÃA DEL ALBAÃ‘IL. Gracias por plasmar paciencia y creatividad en las edificaciones.,,,,,,,,,,,,
5/4/22,Wednesday,95551,92821,80530,11589,862,693,1577,92419,DISPARAN CONTRA PNC Y SE RINDEN. Pandilleros no tuvieron mÃ¡s que entregarse al ser acorralados.,,,,,,,,,,,,
5/5/22,Thursday,97826,95351,87318,7934,863,735,1581,94647,Â¡NO SABÃA QUE ERAN DOS! Madre y bomberos se sorprenden por el nacimiento de niÃ±o y niÃ±a en ambulancia.,,,,,,,,,,,,
5/6/22,Friday,96703,92369,84741,7501,862,694,1577,93570,DEJAN TODO POR HUIR DE PANDILLEROS. Pobladores de Retalhuleu y SuchitepÃ©quez buscan refugio en Quetzaltenango,,,,,,,,,,,,
5/7/22,Saturday,99052,97070,87216,9598,860,696,1456,96040,ABUELA PROSTITUYÃ“ A MENOR DE 14 AÃ‘OS. SeparÃ³ a nieta de sus papÃ¡s para ofrecerla a estructura que dirigÃ¡ una conserje del MP,,,,,,,,,,,,
5/8/22,Sunday,101004,99074,88246,10102,860,697,1295,98152,"11 VECES CAPTURADO. Se le ha sindicado de plagio o secuestro, robo, homicidio, asociaciÃ³n ilÃ­cita, robo agraviado y obstrucciÃ³n",,,,,,,,,,,,
5/9/22,Monday,106300,103837,95100,8665,860,738,1573,103129,"LLUVIA DE BALAS LES ARREBATA LA VIDA. Criminales atacan a seis amigos en un parque, y solo dos sobreviven. Villa Nueva",,,,,,,,,,,,
